Version;Date_of_report;Date_of_statistics;Security_region_code;Security_region_name;Tested_with_result;Tested_positive
4;2022-09-02 09:00:00;2021-01-14;VR01;Groningen;1563;135
4;2022-09-02 09:00:00;2021-01-15;VR01;Groningen;1546;133
4;2022-09-02 09:00:00;2021-01-16;VR01;Groningen;1180;119
4;2022-09-02 09:00:00;2021-01-17;VR01;Groningen;797;72
4;2022-09-02 09:00:00;2021-01-18;VR01;Groningen;1781;164
4;2022-09-02 09:00:00;2021-01-19;VR01;Groningen;1616;138
4;2022-09-02 09:00:00;2021-01-20;VR01;Groningen;1639;159
4;2022-09-02 09:00:00;2021-01-21;VR01;Groningen;1569;138
4;2022-09-02 09:00:00;2021-01-22;VR01;Groningen;1361;113
4;2022-09-02 09:00:00;2021-01-23;VR01;Groningen;1042;65
4;2022-09-02 09:00:00;2021-01-24;VR01;Groningen;809;57
4;2022-09-02 09:00:00;2021-01-25;VR01;Groningen;1647;138
4;2022-09-02 09:00:00;2021-01-26;VR01;Groningen;1212;106
4;2022-09-02 09:00:00;2021-01-27;VR01;Groningen;1203;78
4;2022-09-02 09:00:00;2021-01-28;VR01;Groningen;1084;83
4;2022-09-02 09:00:00;2021-01-29;VR01;Groningen;922;78
4;2022-09-02 09:00:00;2021-01-30;VR01;Groningen;664;55
4;2022-09-02 09:00:00;2021-01-31;VR01;Groningen;568;60
4;2022-09-02 09:00:00;2021-02-01;VR01;Groningen;1199;123
4;2022-09-02 09:00:00;2021-02-02;VR01;Groningen;1127;91
4;2022-09-02 09:00:00;2021-02-03;VR01;Groningen;1293;92
4;2022-09-02 09:00:00;2021-02-04;VR01;Groningen;1182;94
4;2022-09-02 09:00:00;2021-02-05;VR01;Groningen;1131;114
4;2022-09-02 09:00:00;2021-02-06;VR01;Groningen;862;64
4;2022-09-02 09:00:00;2021-02-07;VR01;Groningen;1;0
4;2022-09-02 09:00:00;2021-02-08;VR01;Groningen;1159;126
4;2022-09-02 09:00:00;2021-02-09;VR01;Groningen;1340;178
4;2022-09-02 09:00:00;2021-02-10;VR01;Groningen;1282;124
4;2022-09-02 09:00:00;2021-02-11;VR01;Groningen;1226;127
4;2022-09-02 09:00:00;2021-02-12;VR01;Groningen;1063;92
4;2022-09-02 09:00:00;2021-02-13;VR01;Groningen;745;71
4;2022-09-02 09:00:00;2021-02-14;VR01;Groningen;740;72
4;2022-09-02 09:00:00;2021-02-15;VR01;Groningen;555;59
4;2022-09-02 09:00:00;2021-02-16;VR01;Groningen;2282;238
4;2022-09-02 09:00:00;2021-02-17;VR01;Groningen;1807;155
4;2022-09-02 09:00:00;2021-02-18;VR01;Groningen;1869;171
4;2022-09-02 09:00:00;2021-02-19;VR01;Groningen;1653;151
4;2022-09-02 09:00:00;2021-02-20;VR01;Groningen;1122;90
4;2022-09-02 09:00:00;2021-02-21;VR01;Groningen;1127;113
4;2022-09-02 09:00:00;2021-02-22;VR01;Groningen;1928;186
4;2022-09-02 09:00:00;2021-02-23;VR01;Groningen;1682;129
4;2022-09-02 09:00:00;2021-02-24;VR01;Groningen;2242;146
4;2022-09-02 09:00:00;2021-02-25;VR01;Groningen;1922;121
4;2022-09-02 09:00:00;2021-02-26;VR01;Groningen;1839;128
4;2022-09-02 09:00:00;2021-02-27;VR01;Groningen;1372;88
4;2022-09-02 09:00:00;2021-02-28;VR01;Groningen;1254;96
4;2022-09-02 09:00:00;2021-03-01;VR01;Groningen;2134;139
4;2022-09-02 09:00:00;2021-03-02;VR01;Groningen;2003;158
4;2022-09-02 09:00:00;2021-03-03;VR01;Groningen;1972;124
4;2022-09-02 09:00:00;2021-03-04;VR01;Groningen;2028;103
4;2022-09-02 09:00:00;2021-03-05;VR01;Groningen;1900;105
4;2022-09-02 09:00:00;2021-03-06;VR01;Groningen;1403;64
4;2022-09-02 09:00:00;2021-03-07;VR01;Groningen;1407;60
4;2022-09-02 09:00:00;2021-03-08;VR01;Groningen;2466;143
4;2022-09-02 09:00:00;2021-03-09;VR01;Groningen;2346;131
4;2022-09-02 09:00:00;2021-03-10;VR01;Groningen;2389;168
4;2022-09-02 09:00:00;2021-03-11;VR01;Groningen;2196;118
4;2022-09-02 09:00:00;2021-03-12;VR01;Groningen;2078;123
4;2022-09-02 09:00:00;2021-03-13;VR01;Groningen;1624;88
4;2022-09-02 09:00:00;2021-03-14;VR01;Groningen;1605;101
4;2022-09-02 09:00:00;2021-03-15;VR01;Groningen;2961;184
4;2022-09-02 09:00:00;2021-03-16;VR01;Groningen;2407;151
4;2022-09-02 09:00:00;2021-03-17;VR01;Groningen;2371;166
4;2022-09-02 09:00:00;2021-03-18;VR01;Groningen;2378;159
4;2022-09-02 09:00:00;2021-03-19;VR01;Groningen;2146;122
4;2022-09-02 09:00:00;2021-03-20;VR01;Groningen;1550;77
4;2022-09-02 09:00:00;2021-03-21;VR01;Groningen;1735;93
4;2022-09-02 09:00:00;2021-03-22;VR01;Groningen;2914;170
4;2022-09-02 09:00:00;2021-03-23;VR01;Groningen;2752;145
4;2022-09-02 09:00:00;2021-03-24;VR01;Groningen;2860;176
4;2022-09-02 09:00:00;2021-03-25;VR01;Groningen;2401;140
4;2022-09-02 09:00:00;2021-03-26;VR01;Groningen;2315;168
4;2022-09-02 09:00:00;2021-03-27;VR01;Groningen;1724;108
4;2022-09-02 09:00:00;2021-03-28;VR01;Groningen;1707;115
4;2022-09-02 09:00:00;2021-03-29;VR01;Groningen;2908;166
4;2022-09-02 09:00:00;2021-03-30;VR01;Groningen;2596;159
4;2022-09-02 09:00:00;2021-03-31;VR01;Groningen;2423;137
4;2022-09-02 09:00:00;2021-04-01;VR01;Groningen;2107;106
4;2022-09-02 09:00:00;2021-04-02;VR01;Groningen;2141;119
4;2022-09-02 09:00:00;2021-04-03;VR01;Groningen;1726;80
4;2022-09-02 09:00:00;2021-04-04;VR01;Groningen;1539;82
4;2022-09-02 09:00:00;2021-04-05;VR01;Groningen;2036;123
4;2022-09-02 09:00:00;2021-04-06;VR01;Groningen;2844;145
4;2022-09-02 09:00:00;2021-04-07;VR01;Groningen;2595;131
4;2022-09-02 09:00:00;2021-04-08;VR01;Groningen;2368;128
4;2022-09-02 09:00:00;2021-04-09;VR01;Groningen;2099;138
4;2022-09-02 09:00:00;2021-04-10;VR01;Groningen;1671;107
4;2022-09-02 09:00:00;2021-04-11;VR01;Groningen;1919;116
4;2022-09-02 09:00:00;2021-04-12;VR01;Groningen;2684;147
4;2022-09-02 09:00:00;2021-04-13;VR01;Groningen;2464;141
4;2022-09-02 09:00:00;2021-04-14;VR01;Groningen;2588;157
4;2022-09-02 09:00:00;2021-04-15;VR01;Groningen;2232;128
4;2022-09-02 09:00:00;2021-04-16;VR01;Groningen;2256;133
4;2022-09-02 09:00:00;2021-04-17;VR01;Groningen;1654;122
4;2022-09-02 09:00:00;2021-04-18;VR01;Groningen;1876;121
4;2022-09-02 09:00:00;2021-04-19;VR01;Groningen;2863;175
4;2022-09-02 09:00:00;2021-04-20;VR01;Groningen;2644;186
4;2022-09-02 09:00:00;2021-04-21;VR01;Groningen;2674;191
4;2022-09-02 09:00:00;2021-04-22;VR01;Groningen;2480;161
4;2022-09-02 09:00:00;2021-04-23;VR01;Groningen;2264;156
4;2022-09-02 09:00:00;2021-04-24;VR01;Groningen;1733;91
4;2022-09-02 09:00:00;2021-04-25;VR01;Groningen;1756;126
4;2022-09-02 09:00:00;2021-04-26;VR01;Groningen;2479;181
4;2022-09-02 09:00:00;2021-04-27;VR01;Groningen;1892;135
4;2022-09-02 09:00:00;2021-04-28;VR01;Groningen;2197;140
4;2022-09-02 09:00:00;2021-04-29;VR01;Groningen;2306;134
4;2022-09-02 09:00:00;2021-04-30;VR01;Groningen;2376;165
4;2022-09-02 09:00:00;2021-05-01;VR01;Groningen;1664;100
4;2022-09-02 09:00:00;2021-05-02;VR01;Groningen;1697;90
4;2022-09-02 09:00:00;2021-05-03;VR01;Groningen;2261;124
4;2022-09-02 09:00:00;2021-05-04;VR01;Groningen;1982;118
4;2022-09-02 09:00:00;2021-05-05;VR01;Groningen;1961;165
4;2022-09-02 09:00:00;2021-05-06;VR01;Groningen;1829;120
4;2022-09-02 09:00:00;2021-05-07;VR01;Groningen;1788;110
4;2022-09-02 09:00:00;2021-05-08;VR01;Groningen;1469;82
4;2022-09-02 09:00:00;2021-05-09;VR01;Groningen;1347;85
4;2022-09-02 09:00:00;2021-05-10;VR01;Groningen;1893;133
4;2022-09-02 09:00:00;2021-05-11;VR01;Groningen;1767;115
4;2022-09-02 09:00:00;2021-05-12;VR01;Groningen;1644;122
4;2022-09-02 09:00:00;2021-05-13;VR01;Groningen;1437;110
4;2022-09-02 09:00:00;2021-05-14;VR01;Groningen;1436;79
4;2022-09-02 09:00:00;2021-05-15;VR01;Groningen;1374;77
4;2022-09-02 09:00:00;2021-05-16;VR01;Groningen;1352;80
4;2022-09-02 09:00:00;2021-05-17;VR01;Groningen;2140;106
4;2022-09-02 09:00:00;2021-05-18;VR01;Groningen;1690;105
4;2022-09-02 09:00:00;2021-05-19;VR01;Groningen;1590;88
4;2022-09-02 09:00:00;2021-05-20;VR01;Groningen;1488;76
4;2022-09-02 09:00:00;2021-05-21;VR01;Groningen;1524;93
4;2022-09-02 09:00:00;2021-05-22;VR01;Groningen;1168;69
4;2022-09-02 09:00:00;2021-05-23;VR01;Groningen;998;47
4;2022-09-02 09:00:00;2021-05-24;VR01;Groningen;1118;47
4;2022-09-02 09:00:00;2021-05-25;VR01;Groningen;1009;50
4;2022-09-02 09:00:00;2021-05-26;VR01;Groningen;1707;79
4;2022-09-02 09:00:00;2021-05-27;VR01;Groningen;1508;69
4;2022-09-02 09:00:00;2021-05-28;VR01;Groningen;1263;60
4;2022-09-02 09:00:00;2021-05-29;VR01;Groningen;985;40
4;2022-09-02 09:00:00;2021-05-30;VR01;Groningen;1015;52
4;2022-09-02 09:00:00;2021-05-31;VR01;Groningen;1525;58
4;2022-09-02 09:00:00;2021-06-01;VR01;Groningen;1219;56
4;2022-09-02 09:00:00;2021-06-02;VR01;Groningen;1206;64
4;2022-09-02 09:00:00;2021-06-03;VR01;Groningen;1085;59
4;2022-09-02 09:00:00;2021-06-04;VR01;Groningen;934;34
4;2022-09-02 09:00:00;2021-06-05;VR01;Groningen;793;27
4;2022-09-02 09:00:00;2021-06-06;VR01;Groningen;965;35
4;2022-09-02 09:00:00;2021-06-07;VR01;Groningen;1380;42
4;2022-09-02 09:00:00;2021-06-08;VR01;Groningen;1210;15
4;2022-09-02 09:00:00;2021-06-09;VR01;Groningen;1287;27
4;2022-09-02 09:00:00;2021-06-10;VR01;Groningen;1058;20
4;2022-09-02 09:00:00;2021-06-11;VR01;Groningen;938;28
4;2022-09-02 09:00:00;2021-06-12;VR01;Groningen;686;12
4;2022-09-02 09:00:00;2021-06-13;VR01;Groningen;818;10
4;2022-09-02 09:00:00;2021-06-14;VR01;Groningen;1051;12
4;2022-09-02 09:00:00;2021-06-15;VR01;Groningen;1203;14
4;2022-09-02 09:00:00;2021-06-16;VR01;Groningen;988;15
4;2022-09-02 09:00:00;2021-06-17;VR01;Groningen;897;9
4;2022-09-02 09:00:00;2021-06-18;VR01;Groningen;824;23
4;2022-09-02 09:00:00;2021-06-19;VR01;Groningen;786;21
4;2022-09-02 09:00:00;2021-06-20;VR01;Groningen;731;6
4;2022-09-02 09:00:00;2021-06-21;VR01;Groningen;1198;18
4;2022-09-02 09:00:00;2021-06-22;VR01;Groningen;1123;8
